2020-06-15 22:38:58,159 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:38:59,545 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.desk.desktop.get_desktop_page', 'full_path': '/api/method/frappe.desk.desktop.get_desktop_page?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 400}
2020-06-15 22:38:59,656 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:39:03,250 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.client.get_count', 'full_path': '/api/method/frappe.client.get_count?filters=%7B%22published%22%3A%221%22%7D&doctype=Blog+Post&_=1592256316872', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:39:03,286 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.client.get_count', 'full_path': '/api/method/frappe.client.get_count?filters=%7B%22published%22%3A1%7D&doctype=Web+Page&_=1592256316874', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:39:03,305 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.client.get_count', 'full_path': '/api/method/frappe.client.get_count?filters=%7B%22disabled%22%3A0%7D&doctype=Blogger&_=1592256316873', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:39:03,390 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:39:09,652 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/api/method/frappe.deferred_insert.deferred_insert', 'full_path': '/api/method/frappe.deferred_insert.deferred_insert?', 'method': 'POST', 'scheme': 'http', 'http_status_code': 400}
2020-06-15 22:39:10,705 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
2020-06-15 22:39:14,426 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/desk', 'full_path': '/desk?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 200}
