2020-06-11 12:11:07,901 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,028 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,031 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,033 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,036 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,039 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,041 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,043 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,045 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:11:08,047 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,349 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,354 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,356 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,357 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,359 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,361 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
2020-06-11 12:13:15,363 INFO web {'site': 'localhost', 'remote_addr': '127.0.0.1', 'base_url': 'http://localhost:8000/', 'full_path': '/?', 'method': 'GET', 'scheme': 'http', 'http_status_code': 'NOTFOUND'}
